timestamp actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 actual_TCP_pose_0 actual_TCP_pose_1 actual_TCP_pose_2 actual_TCP_pose_3 actual_TCP_pose_4 actual_TCP_pose_5
4157.096 8.388957940042019e-05 -1.5708320776568812 2.384185791015625e-05 -1.5707600752459925 4.793690095539205e-05 8.388957940042019e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002527737335513225 -0.3814003909216739 0.6941393865751516 1.5712600126974827 0.005235111744461381 0.005523453924122475
4157.103999999999 5.992112710373476e-05 -1.5708320776568812 8.392333984375e-05 -1.5707600752459925 8.388957940042019e-05 8.388957940042019e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002510350423889948 -0.38140046509158987 0.6941394384816925 1.5712600496308666 0.005197350574783138 0.005580114727372478
4157.112 3.5952674807049334e-05 -1.5708320776568812 6.008148193359375e-05 -1.5707724730121058 7.190534961409867e-05 8.388957940042019e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002506151399960771 -0.38140050851462726 0.6941394176166606 1.57126005276859 0.005197563056990953 0.005523396973984688
4157.12 5.992112710373476e-05 -1.5708444754229944 2.384185791015625e-05 -1.5707839171039026 4.793690095539205e-05 7.190534961409867e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.0025273503294235373 -0.38140043735366247 0.694139354183927 1.5712599811181331 0.005254164376549942 0.005466760990723707
4157.128 5.992112710373476e-05 -1.5708683172809046 6.008148193359375e-05 -1.5707600752459925 5.992112710373476e-05 4.793690095539205e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.00253066393330329 -0.3814004766707161 0.6941393246146282 1.5712600744791605 0.00525396198174721 0.005485845967278412
4157.1359999999995 4.793690095539205e-05 -1.5708320776568812 3.5762786865234375e-05 -1.5707600752459925 7.190534961409867e-05 2.3968450477696024e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.0025169184160720353 -0.38140045299363895 0.6941393971068689 1.5712598441707677 0.0052634014201991455 0.00547637471175256
4157.144 4.793690095539205e-05 -1.5708444754229944 3.5762786865234375e-05 -1.5707839171039026 5.992112710373476e-05 4.793690095539205e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002522448651038688 -0.38140046133296246 0.6941393644964893 1.5712599125710704 0.005263631257452987 0.005457317456714485
4157.152 7.190534961409867e-05 -1.5708320776568812 4.8160552978515625e-05 -1.570796314870016 7.190534961409867e-05 4.793690095539205e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002525450605820067 -0.38140038842628576 0.6941394067768181 1.5712597746182047 0.005282138318068854 0.005495301696072844
4157.16 7.190534961409867e-05 -1.5708320776568812 4.8160552978515625e-05 -1.5707481543170374 8.388957940042019e-05 3.5952674807049334e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002524571088525159 -0.3814003936957881 0.6941394082814583 1.5712598680108008 0.00526313010173205 0.005533132969807955
4157.168 4.793690095539205e-05 -1.5708563963519495 8.392333984375e-05 -1.5707724730121058 5.992112710373476e-05 8.388957940042019e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002513574742130404 -0.3814005320743582 0.694139375370163 1.5712601611714225 0.005197963125363251 0.005523033338470517
4157.1759999999995 7.190534961409867e-05 -1.5708563963519495 0.0 -1.5707724730121058 4.793690095539205e-05 5.992112710373476e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002544520780999592 -0.3814003810872496 0.6941393030282509 1.5712599707050334 0.0052920820803711 0.005447646174359317
4157.184 4.793690095539205e-05 -1.5708683172809046 4.8160552978515625e-05 -1.5707600752459925 7.190534961409867e-05 9.58738019107841e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002532872708027362 -0.38140046873381694 0.6941393144369902 1.5712602234444901 0.005225649986156665 0.005514125868401521
4157.192 5.992112710373476e-05 -1.5708683172809046 3.5762786865234375e-05 -1.5707724730121058 3.5952674807049334e-05 3.5952674807049334e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.0025325243585061436 -0.38140048143848393 0.6941393032602904 1.57126001338494 0.005273386457672542 0.005428745980954007
4157.2 4.793690095539205e-05 -1.5708683172809046 4.8160552978515625e-05 -1.5707839171039026 4.793690095539205e-05 7.190534961409867e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002528455644610527 -0.3814004996065169 0.6941393137085959 1.5712601101478563 0.005244392992165752 0.005457743277181372
4157.208 3.5952674807049334e-05 -1.5708683172809046 9.584426879882812e-05 -1.5707600752459925 8.388957940042019e-05 4.793690095539205e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.0025173053461941416 -0.38140054044620736 0.6941393556694199 1.5712601097273655 0.005225879216258297 0.005513972575433061
4157.215999999999 2.3968450477696024e-05 -1.570808235798971 2.384185791015625e-05 -1.5707724730121058 8.388957940042019e-05 7.190534961409867e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.00250268407281593 -0.3814004682800845 0.6941394478592142 1.57125989341169 0.005216682950117077 0.005504229961039989
4157.224 5.992112710373476e-05 -1.5708563963519495 8.392333984375e-05 -1.5707724730121058 5.992112710373476e-05 7.190534961409867e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.0025181455321792584 -0.3814005019237277 0.694139375370163 1.5712600987650114 0.005216793464956987 0.00552303333561381
4157.232 7.190534961409867e-05 -1.5708563963519495 3.5762786865234375e-05 -1.5707600752459925 9.58738019107841e-05 2.3968450477696024e-05 0.0 0.0 -0.0 0.0 0.0 0.0 0.002545696011086635 -0.38140034683822155 0.6941393346687742 1.571259835328106 0.005320151975018329 0.005494935215414305
